,BERTScore,ROUGE-1,ROUGE-2
count,5.0,5.0,5.0
mean,0.911269748210907,0.6543780916194709,0.5929620837877718
std,0.12059224306619158,0.3699755240645623,0.4063326190235102
min,0.7205520272254944,0.07692307692307693,0.0
25%,0.8622425198554993,0.5765765765765766,0.5
50%,0.9791200160980225,0.6666666666666666,0.5137614678899083
75%,0.9944342374801636,0.9517241379310345,0.9510489510489509
max,0.9999999403953552,1.0,1.0
